,dataset,k,r,w,v,reduction,acc,eff,storage
0,vowel,1,1.5,mi,shep,,1.0,0.2254345417022705,1
0,vowel,1,1.5,mi,shep,,0.9696969696969697,0.21247220039367676,1
0,vowel,1,1.5,mi,shep,,1.0,0.2183833122253418,1
0,vowel,1,1.5,mi,shep,,1.0,0.22044134140014648,1
0,vowel,1,1.5,mi,shep,,1.0,0.21741580963134766,1
0,vowel,1,1.5,mi,shep,,0.98989898989899,0.21242284774780273,1
0,vowel,1,1.5,chi,maj,,0.9797979797979798,0.07380223274230957,1
0,vowel,1,1.5,chi,maj,,0.98989898989899,0.07684731483459473,1
0,vowel,1,1.5,chi,maj,,1.0,0.07388925552368164,1
0,vowel,1,1.5,chi,maj,,0.98989898989899,0.07883763313293457,1
0,vowel,1,1.5,chi,maj,,1.0,0.07281827926635742,1
0,vowel,1,1.5,chi,maj,,0.98989898989899,0.07585501670837402,1
0,vowel,1,1.5,chi,maj,,0.98989898989899,0.07383394241333008,1
0,vowel,1,1.5,chi,maj,,1.0,0.07183456420898438,1
0,vowel,1,1.5,chi,maj,,0.98989898989899,0.07180333137512207,1
0,vowel,1,1.5,chi,maj,,0.9797979797979798,0.07582902908325195,1
0,vowel,1,1.5,chi,inv,,0.9797979797979798,0.0778193473815918,1
0,vowel,1,1.5,chi,inv,,0.98989898989899,0.07881712913513184,1
0,vowel,1,1.5,chi,inv,,1.0,0.07184767723083496,1
0,vowel,1,1.5,chi,inv,,0.98989898989899,0.07376956939697266,1
0,vowel,1,1.5,chi,inv,,1.0,0.07582521438598633,1
0,vowel,1,1.5,chi,inv,,0.98989898989899,0.07580327987670898,1
0,vowel,1,1.5,chi,inv,,0.98989898989899,0.07380175590515137,1
0,vowel,1,1.5,chi,inv,,1.0,0.07486653327941895,1
0,vowel,1,1.5,chi,inv,,0.98989898989899,0.07776284217834473,1
0,vowel,1,1.5,chi,inv,,0.9797979797979798,0.07784318923950195,1
0,vowel,1,1.5,chi,shep,,0.9797979797979798,0.07280611991882324,1
0,vowel,1,1.5,chi,shep,,0.98989898989899,0.07183098793029785,1
0,vowel,1,1.5,chi,shep,,1.0,0.07283878326416016,1
0,vowel,1,1.5,chi,shep,,0.98989898989899,0.07394886016845703,1
0,vowel,1,1.5,chi,shep,,1.0,0.07180643081665039,1
0,vowel,1,1.5,chi,shep,,0.98989898989899,0.07588529586791992,1
0,vowel,1,1.5,chi,shep,,0.98989898989899,0.07879161834716797,1
0,vowel,1,1.5,chi,shep,,1.0,0.07379865646362305,1
0,vowel,1,1.5,chi,shep,,0.98989898989899,0.07380843162536621,1
0,vowel,1,1.5,chi,shep,,0.9797979797979798,0.07882070541381836,1
0,vowel,1,2,eq,maj,,0.9595959595959596,0.04088473320007324,1
0,vowel,1,2,eq,maj,,0.9797979797979798,0.033941030502319336,1
0,vowel,1,2,eq,maj,,0.98989898989899,0.0359036922454834,1
0,vowel,1,2,eq,maj,,1.0,0.038889169692993164,1
0,vowel,1,2,eq,maj,,1.0,0.03789949417114258,1
0,vowel,1,2,eq,maj,,0.9797979797979798,0.038895368576049805,1
